topic,platform,count,share
другое,desktop,307471,0.7919122040673356
образование,desktop,27199,0.07005285063771043
обои,desktop,13376,0.03445078606309109
развлечения,desktop,12951,0.03335617002864031
соцсети,desktop,7158,0.018435909587291122
аниме,desktop,6615,0.017037376630334
поздравления,desktop,5514,0.014201677209321492
животные,desktop,3696,0.009519296149012013
дети,desktop,1091,0.002809943749613665
погода,desktop,1087,0.0027996414810541282
еда,desktop,1069,0.0027532812725362126
новости,desktop,799,0.002057878144767478
медицина,desktop,238,0.0006129849792924402
другое,touch,540911,0.7449528371397368
поздравления,touch,53279,0.07337684426822164
развлечения,touch,48571,0.06689289782000024
образование,touch,22898,0.0315355577254404
обои,touch,17769,0.024471802132210257
аниме,touch,10860,0.014956596947256649
животные,touch,6930,0.009544126781260459
погода,touch,5542,0.007632546987264857
соцсети,touch,5385,0.00741632362439936
еда,touch,5170,0.007120221566972088
новости,touch,4741,0.006529394670989298
дети,touch,3211,0.004422249797204521
медицина,touch,834,0.0011486005390434664
